text,user,location
"RT @CDCgov: The CDC #COVIDView report summarizes new data on COVID-19-like illness, hospitalization rates and deaths associated with influe…",kybellcountydem,"Bell County, Kentucky"
"RT @mvmeet: Due to Smriti Irani's hard work, Amethi had ZERO coronavirus cases

But days back, Priyanka Vadra illegally moved 72 migrant wo…",nitinsoni1979,"Bareilly, India"
"RT @tribelaw: FEMA now projects 200,000 new coronavirus cases a day by the end of the month (it’s now about 25,000 new cases a day), and by…",LILLIANGRANT11,United States
"RT @tribelaw: FEMA now projects 200,000 new coronavirus cases a day by the end of the month (it’s now about 25,000 new cases a day), and by…",arachneale,United States
RT @arielbogle: This is a fascinating piece. Our imagery of COVID-19 is empty stadiums &amp; supermarket lines. We rarely see ill bodies in hos…,dhmspector,"San Francisco, CA"
RT @KenRoth: The coronavirus pandemic was an opportunity for the Hong Kong government to rededicate itself to serving the Hong Kong people.…,cccccct4,
"RT @azcentral: JUST IN: The Arizona Department of Health Services told a team of university experts working on COVID-19 modeling to ""pause""…",tubsjmh,United States
"RT @GregAbbott_TX: Open Texas continues as Hair and Nail Salons can open on May 8 and Gyms can open on May 18. 

That and more announced to…",YocelinGallardo,CA/TX
"RT @cnni: The virus that causes Covid-19 has been circulating in people since late last year, and must have spread extremely quickly after…",patstagepage,"Montreal, Quebec"
"RT @OPB: 🌲 BIG STORY 2 🌲

Oregon will allow limited daytime use of some state parks, dipping another toe into reopening the state. https://…",lellingw,USA
"RT @TeamPelosi: As the death toll from the President’s erratic #coronavirus response continues to mount, he and Republicans are doubling do…",Teresa_Denemy,Southwestern Michigan
"RT @MollyJongFast: Wait, wut? Why?  https://t.co/jBmemrRlts",AtkinsonJohn7,
"@toxiclucidity @RealKellyJones You do realise that Coronavirus isn't a new virus, right? 

It's been a known virus for a long time but this newest strain, COVID-19, is much more deadly than it's predecessors.

Not everything is a conspiracy theory.",MrJakeGray,"Newcastle, England"
Supervisors delay vote on plan to rescind Riverside County-specific COVID-19 safeguards https://t.co/yRRaCHpg8s via @MyDesert,bdelossantos1,"Palm Springs, CA"
RT @thehill: Trump says Fauci and Birx will still be involved in coronavirus efforts https://t.co/NhGG37p88O https://t.co/zhdh1ICl2r,Cleavon09899465,"Kansas City, MO"
